Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F (Fe/Mg),TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
Y980459, None ,Y,1,-12.444498925169416,0.83,0.622126975618062,0.3388537472930108,1371.2908600710102,0.43032008601808214,1460.9485621784113,4.009976894554241,50.53006770977082,0.5829700176568651,6.186665161568982,0.784097762940538,1.0792477671645146,16.546577808593796,0.49862176740517483,15.282812513552422,7.4092094500838614,0.738584545550795,0.02169645141468631,0.0,0.3394490442975695,0.0
NWA5789, None ,Y,1,-10.29269825140587,0.83,0.6281423948701709,0.33857057128941553,1378.6192100129829,0.45157245634762716,1470.8324525754012,4.151748446558481,50.46058446556924,0.5192021478321422,6.139096593705377,0.6413360689586021,1.0636391193935761,16.62269527186554,0.4802202053570644,15.752331312773293,7.267761971873213,0.627398289251378,0.022407081758977793,0.0,0.40332747166159993,0.0
NWA6162, None ,Y,1,35.11799580628689,0.93,0.7797234050011557,0.28122320792503,1523.0338217481942,0.9999999957947255,1599.3050462036654,9.111369462178175,45.40015600462958,0.23928527146145184,2.935724671719276,0.6576577158997192,0.7299128369983918,15.185166134559415,0.40455074864410223,30.15461027302329,3.6906530685951204,0.3800120660344004,0.014340077963562282,0.0,0.2079311304716532,0.0
Tissint, None ,Y,1,7.519304056179915,0.85,0.6405242507080758,0.30648140098997473,1428.665090173905,0.4941504660606683,1536.4038736266282,5.264155927623425,46.11979945281866,0.5940568909518308,4.7377942665952375,0.7197553647632802,1.0668270876749077,19.30932394466192,0.4808852607270207,19.301675242057833,6.554560383819536,0.6281451611803861,0.02592208776323196,0.0,0.4612548569861276,0.0
DaG476, None ,Y,1,38.50028957117054,0.92,0.7816252651970806,0.29090546586165567,1515.6186152384205,0.9999993972424346,1605.8719705852875,8.563524265172237,46.756073304158534,0.2550380746166792,2.847398036387001,0.583224644556755,0.6559976266739824,14.301965644647375,0.3753878573950453,28.71797975819968,4.927491361060104,0.33330979136739625,0.04115716913777359,0.0,0.20497673179962567,0.0
LAR12240-7, None ,Y,1,-8.970108295560063,0.83,0.6182535835220874,0.32323730678824364,1382.5816126210777,0.3942459343478376,1476.160562607523,4.230305486865155,48.27499573302308,0.5623295326793916,6.120495982075859,0.69592049876031,1.1102202660831573,17.6220825798886,0.47497952328229964,16.01071996451994,7.731361894094879,0.8986169479350333,0.030985584285118852,0.0,0.4672914933723352,0.0
LAR12011-12, None ,Y,1,14.540464650677654,0.86,0.6378923959389169,0.2985397781423352,1433.7301814353646,0.4604010671414442,1542.695584199056,5.394494148825406,44.86142944181795,0.6198195566380408,4.977160336295558,0.5428219304718516,1.044259442539277,19.937150568012786,0.4725747548240287,19.703111958383374,6.084265722552857,0.9641235630000837,0.13712291318012057,0.0,0.6561598122840366,0.0
LAR12095-14, None ,Y,1,-9.409865573820653,0.83,0.6116872225023646,0.3273912698268709,1368.4194205472254,0.3717917342531141,1457.0673162809576,3.95561883587905,48.851571415696355,0.5637074772277195,6.410418307450957,0.7580148841436197,1.0852341050643015,17.088953867553247,0.47202433613528194,15.101676431353068,8.274436455440625,0.8959578690205787,0.04865841645285278,0.0,0.44934643446139577,0.0
RBT04262, None ,Y,1,14.307085556307793,0.87,0.6530111251597552,0.28972005262244116,1462.1448692392057,0.5336469971086512,1575.5642968212776,6.213839400422881,43.715070769763656,0.5365460276931228,4.7065708841489435,0.7161725863693498,1.1178321675698024,20.994038475295365,0.4631011163286295,22.16475701029615,4.081155002364255,0.9470331037097864,0.09430835119604464,0.0,0.4634145052648943,0.0
LEW88516, None ,Y,1,19.555228510157473,0.92,0.7605289125247052,0.2811526143120606,1518.5566913394368,0.9999976858493284,1604.047099779532,8.765852608390297,44.942957720152705,0.3219790826425296,2.73304529614179,0.7502219000610473,0.8662335087564957,16.418492912508754,0.44375779579905816,29.252156519370878,3.4679250160989707,0.45945754764241353,0.02379333728862499,0.0,0.31997936353668077,0.0
