Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F AFM,TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
A16, PX ,Y,1,49.49414210220977,0.85,0.6090524541754762,0.28217153897525565,1441.3109819453941,0.5086087063506478,1551.9131639504583,5.5974824720997685,41.743489660747485,0.5247990619547758,3.8194402501176743,0.6906628468350766,1.2661017938188475,23.102853711050976,1.3054014736004271,20.322750743181842,4.504923368374987,1.9184047806600348,0.3875016785704777,0.0,0.413670631087359,0.0
A17, PX ,Y,1,55.127622089067586,0.84,0.597326035616374,0.28075787238391864,1441.302077405839,1.0203752181481591,1551.9024933268247,5.597238114930291,41.28965219110348,0.5732473327479877,3.8869299773558237,0.7848894956836141,1.2639005048401215,24.41048419790773,1.2326934009424624,20.322008819957617,3.82044139040328,1.636345565232206,0.4152547437136971,0.0,0.3641523801119586,0.0
A18, PX ,Y,1,49.91107019954096,0.84,0.6006198348068227,0.2826577056464147,1438.3348357724356,0.46945320413645253,1548.3254042221536,5.516605406003961,41.65878885092977,0.5682113971135611,4.616701234537482,0.6985375471411925,1.2835923480104632,23.64619082912021,1.2207996277049638,20.076667029428474,4.068424675479772,1.5778394195068903,0.2968072506079308,0.0,0.28743979041921425,0.0
A19, PX ,Y,1,62.08280526285724,0.86,0.6385744915875061,0.2848840090737869,1458.6504087430103,0.6156705741233299,1571.812375936992,6.103572800608882,42.630253811206536,0.5419068122829787,3.176785616947519,0.6857085077600288,1.057379469408645,22.022525982811615,1.2937098841788426,21.839426489538358,3.785469706281397,1.7473308024493308,0.5651948302312038,0.0,0.6543080869034842,0.0
A20, PX  VT ,Y,1,47.13287438564341,0.84,0.5864620087965579,0.2775543510251167,1437.4483260026168,0.3991528889635971,1547.248717560275,5.49281626314337,40.48310497716545,0.5112612796792112,4.453861533272198,0.8039226639439184,1.432105813384501,25.135712181143344,1.1442144603979658,20.004083369899448,3.5867368529181434,1.6072690655858028,0.4427894829824489,0.0,0.3949383196275301,0.0
A21, PX  VT ,Y,1,48.23367579621452,0.84,0.5963077052723912,0.2813110334598425,1439.9443903590616,0.4536683234371765,1550.2709812799537,5.560148839721905,41.3791405943307,0.5761506769361613,3.192232409247182,0.8050388391503771,1.367008699428934,24.379434209426048,1.184440631008207,20.20928670604946,4.144016485726895,1.7410938004310774,0.5426323015848108,0.0,0.4795246466801273,0.0
A22, PX ,Y,1,39.289670660096874,0.83,0.57496532989841,0.2882884110930602,1407.181808512588,0.3760627561389432,1508.8370409970823,4.751693427905638,42.1358199742959,0.5192592019104847,5.441779814997235,0.8942243189766432,1.315305070427521,22.75982088480347,1.056559322707444,17.694969736350323,4.835814111309907,2.0010657451064766,0.7879365550818989,0.0,0.5574452640326434,0.0
A23, PX ,Y,1,50.0664344254077,0.85,0.6137338545506531,0.2815926496338823,1445.7743407565385,0.5421101401060953,1557.2101859358822,5.721831335009792,41.77136575472973,0.6174047775982063,3.058570071997227,0.8771826500513125,1.275828875794704,23.210523184966604,1.1958089620437196,20.69907311338783,4.689815713111046,1.6831089681505356,0.38664378832871593,0.0,0.5346741398403312,0.0
A24, PX ,Y,1,53.326042105866264,0.83,0.5857566804568121,0.28068515127019894,1439.3499450020006,1.0203795278745702,1549.5538503696716,5.544013921977022,41.049991595226885,0.5236581948311798,3.5663307254351375,0.7158933952803845,1.3535617964637867,25.407634940110952,1.2074066719057588,20.16018041592747,3.293422745134925,1.7818032300114772,0.42816048039430227,0.0,0.5119558092776997,0.0
A25, PX  VT ,Y,1,50.24659847286572,0.84,0.5932361692895423,0.2812036283270736,1438.6539866400212,0.43891904624304506,1548.7121432770173,5.52520315576913,41.34542574991046,0.5806205973180341,3.1556489442408493,0.8005034693778422,1.3432701652892864,24.562521333020356,1.094288239222349,20.102877310838817,4.276042230276564,1.7572846475819393,0.5234516396288205,0.0,0.4580656732946229,0.0
A26, PX  VT ,Y,1,49.24536915729651,0.83,0.5815438019457494,0.27961546502789064,1435.4156487775815,0.37632497627477485,1544.7668424036785,5.438777877940194,40.969990092181376,0.5925120105702637,3.750406859917614,0.7970599113809187,1.4093294051363614,25.438939398930103,1.0970767001934991,19.83886359618147,4.063743377557199,1.481450248669623,0.39461136742036446,0.0,0.16601703186118594,0.0
