Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F (Fe/Mg),TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
A15, PX ,Y,1,47.43225430896501,0.84,0.6015938291549671,0.28275262499170095,1442.9877761827076,1.0000399485326006,1553.9154054002427,5.643757156918942,41.48504489552839,0.49270714338114746,3.497517095510525,0.827944260746708,1.372532019679844,24.15637274807576,1.2115681734263037,20.4630796583804,3.0943387941686495,1.8736309962174271,0.9061208995760455,0.0,0.6191433153087356,0.0
A16, PX ,Y,1,53.245984817122604,0.86,0.6242739286731591,0.28034609224146656,1451.8519240306773,0.3895165686159745,1564.240567557352,5.897496896747858,41.669437403285514,0.5061628121618214,3.682732746820287,0.673668694075835,1.2197078594062418,22.77268579201302,1.284708447211405,21.22658243680945,4.344390538605672,1.8481084221797908,0.3733024036400249,0.0,0.3985124437909007,0.0
A17, PX ,Y,1,55.34081929566065,0.84,0.5982157668141626,0.2806477414698189,1441.9093669279657,0.9999621091757825,1552.6293232425378,5.61393655072482,41.28596580590536,0.5720738314614678,3.878909216946108,0.7837807608945195,1.261229487921479,24.39053878161274,1.2315746244074044,20.372687106534315,3.8125929359632007,1.6328874554579453,0.4143771806129955,0.0,0.3633828122824355,0.0
A18, PX ,Y,1,53.2235324441821,0.85,0.6143962479675504,0.28087011836438025,1447.8023331978302,0.347116893446651,1559.5808842719402,5.779605462119238,41.593040252108885,0.5503638486641849,4.470512122123111,0.6833688634392069,1.2419846208263063,23.35164633204304,1.2038122892225123,20.87309090048083,3.940178479988938,1.5266936548807553,0.28718622479804967,0.0,0.2781224114241063,0.0
A19, PX ,Y,1,62.36173594832183,0.86,0.6396450373185,0.2847401410040959,1459.367390536955,0.9999605149151052,1572.5904990902088,6.125945013460451,42.622728513726074,0.5404562499902146,3.1682277899689466,0.6844343300290071,1.054457226372376,21.998052178632296,1.2921230566519382,21.905577717567688,3.7753085531252433,1.7425017647980026,0.5636328208442596,0.0,0.6524997982939109,0.0
A20, PX  VT ,Y,1,47.314730517002864,0.84,0.5872343126927356,0.27746423117117497,1437.9773059188028,0.24631991263260422,1547.891604414667,5.506994841944748,40.48127743941363,0.5103684189278156,4.446018422014729,0.8029545732697931,1.429524100104879,25.118129161817173,1.1433336652566162,20.04735502951677,3.5804500131660655,1.604371578646104,0.4419912490268231,0.0,0.3942263488395586,0.0
A21, PX  VT ,Y,1,48.42270539329399,0.84,0.5970967675235135,0.28121683792863733,1440.4883700581374,0.2861798860433019,1550.9257504606423,5.574969315539195,41.3756831579991,0.5751038946757218,3.186384796529218,0.8040313046724188,1.3644445691679643,24.36197581564982,1.1834930130713848,20.25435567925257,4.13646011448724,1.7378279899773932,0.5416144734571224,0.0,0.47862519106002255,0.0
A22, PX ,Y,1,53.70025366189677,0.86,0.6365306376574437,0.2814008838798714,1452.593195238642,0.45737030053638267,1565.0821129712804,5.919455542262995,41.797200462844344,0.4519428216460478,4.729488515833555,0.8137321505613462,1.1396189350775048,21.672392510473625,0.9977073976423743,21.29218920750169,4.206267565114301,1.733782120004364,0.6826913679570978,0.0,0.48298694534370823,0.0
A23, PX ,Y,1,50.33269755854929,0.85,0.6148217176145544,0.28145614586996137,1446.5215330061612,0.36836591463828483,1558.0863926001816,5.743022310402918,41.76586141241282,0.6158273946007583,3.050695086540194,0.8756364300049193,1.2724635879233603,23.18675300964641,1.1944515086218381,20.762961546849567,4.677792893404413,1.6786693867112623,0.3856239276906013,0.0,0.5332638155938252,0.0
A24, PX ,Y,1,53.46242645148165,0.83,0.5863287575953572,0.2806163412720207,1439.7383917223124,1.0000265246653945,1550.0226573220868,5.554550334838711,41.04782668508584,0.5229710818362552,3.561613733204547,0.7152449699016789,1.3517283004543872,25.39434103586525,1.2067031059709503,20.192252513560007,3.2890860885946234,1.7793896504318112,0.42758050648085666,0.0,0.5112623286137568,0.0
A25, PX  VT ,Y,1,50.4261872140526,0.84,0.5939898890424429,0.28111427011662155,1439.1746517591264,0.2746616628372484,1549.3420601200642,5.539267946837147,41.342165150653436,0.5796182568219868,3.1501556812325893,0.7995521864503559,1.3408760935307265,24.545891490861344,1.093459086816628,20.145728165396353,4.26863321564728,1.7541526897262232,0.5225187068355597,0.0,0.45724927602746246,0.0
A26, PX  VT ,Y,1,49.394992351195135,0.83,0.5821852699720425,0.27953602148972234,1435.8537801533246,0.23088035172501364,1545.303308998691,5.450366485723875,40.967677231222744,0.5916597989852851,3.7449670923952745,0.7962707475365738,1.407236734571506,25.424545098522792,1.0963847519286145,19.874335340005597,4.0578767776388265,1.4792504880477346,0.39402542094812854,0.0,0.16577051819690392,0.0
